"","V1","V2","V3","V4","V5","V6","V7","V8"
"73",76,15.5487398696688,15.4283129352078,13.216354925815,13.2191278925329,13.2191278925409,0,0
"74",77,0.407609078003867,0.623234006988658,0.618483449787307,2.87385864941137,0.61845993985634,0,0
"75",78,1.75266443913696,1.70446479378395,1.6158449185903,3.15819792268403,1.58131411654083,0,0
"76",79,13.4006411015356,14.7287677686021,8.72094416596141,8.68603539974304,8.68624263675501,0,0
"77",80,3.86312391836374,2.1633980086103,1.15815634234788,1.18600550559181,1.03891518285821,0,0
"78",81,4.2979960538958,2.09933551808473,2.39623797774223,2.9768221188088,2.09932528903401,0,0
"79",82,9.25446650844236,4.76690239020553,4.26434568058361,4.25244944149916,4.25252718619667,0,0
"80",83,1.39676073097423,0.963107902181329,0.918081421741116,2.27182779992029,0.916677839596001,0,0
"81",84,0.970151896301528,2.64514139799791,2.51461430478794,3.3233227800525,2.49292592641088,0,0
"82",86,4.42825289506234,2.40239713749259,2.49615578436976,2.73492101546503,2.40167139298014,0,0
"83",87,1.53903909302704,1.6683311526584,1.69911495668812,4.01585785862986,1.66833115258723,0,0
"84",88,7.95430520103618,3.79075189630185,2.9673099150968,2.92562871761269,2.9258775700965,0,0
"85",89,3.43822554310894,4.61516719478088,2.95662357605376,3.03743267995833,2.92856675676323,0,0
"86",90,3.0009255623947,4.38731583765503,3.459632049496,3.53267277835527,3.41170879623834,0,0
"87",91,6.24049975804187,8.32615900341192,5.35840460407907,5.3414626958954,5.34158749140641,0,0
"88",92,9.43906392485945,10.8474220077969,8.95308529207631,8.81976249832449,8.81976255595798,0,0
"89",93,4.1960686927237,3.6778547702128,3.38649080888077,3.94164596475352,3.3864194859209,0,0
"90",94,7.70792622086048,7.98848273144458,5.33169645221598,5.38256493878047,5.3207132296289,0,0
"91",95,14.533862895922,9.59042737303331,6.95757730611944,6.90040670913402,6.90080831199264,0,0
"92",96,0.108642008184827,2.11264730089028,2.12281539091286,8.6329556889497,2.11264752611577,0,0
"93",97,2.38300499189326,2.72655160705486,2.43847992931028,3.49400170610404,2.43817026791123,0,0
"94",98,5.77380137445228,4.17625374658226,3.5562660717718,3.62164399638377,3.54932972339104,0,0
"95",99,6.90199996384156,6.67280853579855,6.57176780237255,7.47120622126789,6.55514333536054,0,0
